,cam2,label
0,2019-04-05-09-51-29-283786-CAM2_pe-hd-opaque_grp1.png,pe-hd-opaque
1,2019-04-05-09-51-48-921709-CAM2_pet-fonce_grp2.png,pet-fonce
2,2019-04-05-09-52-05-060212-CAM2_pet-opaque_grp3.png,pet-opaque
3,2019-04-05-09-52-17-287957-CAM2_godet-vide_grp4.png,godet-vide
4,2019-04-05-09-52-25-418216-CAM2_ela_grp5.png,ela
5,2019-04-05-10-05-05-932856-CAM2_plusieurs-objets_grp6.png,plusieurs-objets
6,2019-04-05-10-07-05-763551-CAM2_godet-vide_grp7.png,godet-vide
7,2019-04-05-10-07-13-788783-CAM2_godet-vide_grp8.png,godet-vide
8,2019-04-05-10-07-39-959998-CAM2_godet-vide_grp9.png,godet-vide
9,2019-04-05-10-08-12-515397-CAM2_godet-vide_grp10.png,godet-vide
10,2019-04-05-10-12-13-071108-CAM2_ela_grp11.png,ela
11,2019-04-05-10-13-02-570944-CAM2_ela_grp12.png,ela
12,2019-04-05-10-13-27-978265-CAM2_ela_grp13.png,ela
13,2019-04-05-10-13-35-931964-CAM2_ela_grp14.png,ela
14,2019-04-05-10-13-43-219592-CAM2_godet-vide_grp15.png,godet-vide
15,2019-04-05-10-14-29-183750-CAM2_ela_grp16.png,ela
16,2019-04-05-10-14-37-387280-CAM2_ela_grp17.png,ela
17,2019-04-05-10-15-01-686723-CAM2_pe-hd-opaque_grp18.png,pe-hd-opaque
18,2019-04-05-10-15-08-625405-CAM2_pe-hd-opaque_grp19.png,pe-hd-opaque
19,2019-04-05-10-17-45-272852-CAM2_godet-vide_grp20.png,godet-vide
20,2019-04-05-10-19-49-003506-CAM2_godet-vide_grp21.png,godet-vide
21,2019-04-05-10-22-35-893291-CAM2_godet-vide_grp22.png,godet-vide
22,2019-04-05-10-23-50-536691-CAM2_pe-hd-opaque_grp23.png,pe-hd-opaque
23,2019-04-05-10-23-57-719342-CAM2_pe-hd-opaque_grp24.png,pe-hd-opaque
24,2019-04-05-10-25-42-968014-CAM2_pe-hd-opaque_grp25.png,pe-hd-opaque
25,2019-04-05-10-27-29-277154-CAM2_pe-hd-opaque_grp26.png,pe-hd-opaque
26,2019-04-05-10-27-36-571500-CAM2_godet-vide_grp27.png,godet-vide
27,2019-04-05-10-27-43-925650-CAM2_pet-fonce_grp28.png,pet-fonce
28,2019-04-05-10-30-39-699951-CAM2_pet-fonce_grp29.png,pet-fonce
29,2019-04-05-10-30-51-026170-CAM2_pet-fonce_grp30.png,pet-fonce
30,2019-04-05-10-31-06-051853-CAM2_pet-fonce_grp31.png,pet-fonce
31,2019-04-05-10-31-18-771196-CAM2_pet-clair_grp32.png,pet-clair
32,2019-04-05-10-31-31-408704-CAM2_pe-hd-opaque_grp33.png,pe-hd-opaque
33,2019-04-05-10-31-46-672370-CAM2_godet-vide_grp34.png,godet-vide
34,2019-04-05-10-32-04-868971-CAM2_pe-hd-opaque_grp35.png,pe-hd-opaque
35,2019-04-05-10-32-12-958492-CAM2_pe-hd-opaque_grp36.png,pe-hd-opaque
36,2019-04-05-10-32-18-992539-CAM2_pe-hd-opaque_grp37.png,pe-hd-opaque
37,2019-04-05-10-32-43-957953-CAM2_pet-fonce_grp38.png,pet-fonce
38,2019-04-05-10-32-51-134909-CAM2_pet-fonce_grp39.png,pet-fonce
39,2019-04-05-10-33-08-416792-CAM2_pet-clair_grp40.png,pet-clair
40,2019-04-05-10-34-13-595412-CAM2_pet-fonce_grp41.png,pet-fonce
41,2019-04-05-10-34-31-474611-CAM2_pe-hd-opaque_grp42.png,pe-hd-opaque
42,2019-04-05-10-34-43-114374-CAM2_pe-hd-opaque_grp43.png,pe-hd-opaque
43,2019-04-05-10-35-36-700435-CAM2_pe-hd-opaque_grp44.png,pe-hd-opaque
44,2019-04-05-10-35-47-792933-CAM2_pe-hd-opaque_grp45.png,pe-hd-opaque
45,2019-04-05-10-35-53-056405-CAM2_pe-hd-opaque_grp46.png,pe-hd-opaque
46,2019-04-05-10-35-59-034909-CAM2_pe-hd-opaque_grp47.png,pe-hd-opaque
47,2019-04-05-10-36-11-841013-CAM2_pet-clair_grp48.png,pet-clair
48,2019-04-05-10-36-17-890810-CAM2_pet-clair_grp49.png,pet-clair
49,2019-04-05-10-36-24-702764-CAM2_pet-clair_grp50.png,pet-clair
50,2019-04-05-10-36-30-192797-CAM2_pet-clair_grp51.png,pet-clair
51,2019-04-05-10-36-37-178805-CAM2_pet-clair_grp52.png,pet-clair
52,2019-04-05-10-36-44-224587-CAM2_godet-vide_grp53.png,godet-vide
