,filename,new_filename,label,group,delta,timestamp
0,2019-04-05-09-51-29-283786-CAM2_not-labeled.png,2019-04-05-09-51-29-283786-CAM2_pe-hd-opaque_grp1.png,pe-hd-opaque,1,2019-04-05 09:51:29,2019-04-05 09:51:29
1,2019-04-05-09-51-29-998464-CAM1_not-labeled.png,2019-04-05-09-51-29-998464-CAM1_pe-hd-opaque_grp1.png,pe-hd-opaque,1,0 days 00:00:00,2019-04-05 09:51:29
3,2019-04-05-09-51-48-921709-CAM2_pet-fonce.png,2019-04-05-09-51-48-921709-CAM2_pet-fonce_grp2.png,pet-fonce,2,0 days 00:00:18,2019-04-05 09:51:48
4,2019-04-05-09-51-49-616585-CAM1_pet-fonce.png,2019-04-05-09-51-49-616585-CAM1_pet-fonce_grp2.png,pet-fonce,2,0 days 00:00:01,2019-04-05 09:51:49
6,2019-04-05-09-52-05-060212-CAM2_pet-opaque.png,2019-04-05-09-52-05-060212-CAM2_pet-opaque_grp3.png,pet-opaque,3,0 days 00:00:15,2019-04-05 09:52:05
7,2019-04-05-09-52-05-729671-CAM1_pet-opaque.png,2019-04-05-09-52-05-729671-CAM1_pet-opaque_grp3.png,pet-opaque,3,0 days 00:00:00,2019-04-05 09:52:05
9,2019-04-05-09-52-17-287957-CAM2_not-labeled.png,2019-04-05-09-52-17-287957-CAM2_godet-vide_grp4.png,godet-vide,4,0 days 00:00:11,2019-04-05 09:52:17
10,2019-04-05-09-52-17-973687-CAM1_godet-vide.png,2019-04-05-09-52-17-973687-CAM1_godet-vide_grp4.png,godet-vide,4,0 days 00:00:00,2019-04-05 09:52:17
12,2019-04-05-09-52-25-418216-CAM2_ela.png,2019-04-05-09-52-25-418216-CAM2_ela_grp5.png,ela,5,0 days 00:00:07,2019-04-05 09:52:25
13,2019-04-05-09-52-26-135206-CAM1_ela.png,2019-04-05-09-52-26-135206-CAM1_ela_grp5.png,ela,5,0 days 00:00:01,2019-04-05 09:52:26
15,2019-04-05-10-05-05-932856-CAM2_plusieurs-objets.png,2019-04-05-10-05-05-932856-CAM2_plusieurs-objets_grp6.png,plusieurs-objets,6,0 days 00:12:39,2019-04-05 10:05:05
16,2019-04-05-10-05-06-621960-CAM1_plusieurs-objets.png,2019-04-05-10-05-06-621960-CAM1_plusieurs-objets_grp6.png,plusieurs-objets,6,0 days 00:00:01,2019-04-05 10:05:06
18,2019-04-05-10-07-05-763551-CAM2_not-labeled.png,2019-04-05-10-07-05-763551-CAM2_godet-vide_grp7.png,godet-vide,7,0 days 00:01:58,2019-04-05 10:07:05
19,2019-04-05-10-07-06-456481-CAM1_godet-vide.png,2019-04-05-10-07-06-456481-CAM1_godet-vide_grp7.png,godet-vide,7,0 days 00:00:01,2019-04-05 10:07:06
21,2019-04-05-10-07-13-788783-CAM2_godet-vide.png,2019-04-05-10-07-13-788783-CAM2_godet-vide_grp8.png,godet-vide,8,0 days 00:00:06,2019-04-05 10:07:13
