,cam1,cam2,label
0,2019-04-05-09-51-29-998464-CAM1_pe-hd-opaque_grp1.png,2019-04-05-09-51-29-283786-CAM2_pe-hd-opaque_grp1.png,pe-hd-opaque
1,2019-04-05-09-51-49-616585-CAM1_pet-fonce_grp2.png,2019-04-05-09-51-48-921709-CAM2_pet-fonce_grp2.png,pet-fonce
2,2019-04-05-09-52-05-729671-CAM1_pet-opaque_grp3.png,2019-04-05-09-52-05-060212-CAM2_pet-opaque_grp3.png,pet-opaque
3,2019-04-05-09-52-17-973687-CAM1_godet-vide_grp4.png,2019-04-05-09-52-17-287957-CAM2_godet-vide_grp4.png,godet-vide
4,2019-04-05-09-52-26-135206-CAM1_ela_grp5.png,2019-04-05-09-52-25-418216-CAM2_ela_grp5.png,ela
5,2019-04-05-10-05-06-621960-CAM1_plusieurs-objets_grp6.png,2019-04-05-10-05-05-932856-CAM2_plusieurs-objets_grp6.png,plusieurs-objets
6,2019-04-05-10-07-06-456481-CAM1_godet-vide_grp7.png,2019-04-05-10-07-05-763551-CAM2_godet-vide_grp7.png,godet-vide
7,2019-04-05-10-07-14-488516-CAM1_godet-vide_grp8.png,2019-04-05-10-07-13-788783-CAM2_godet-vide_grp8.png,godet-vide
8,2019-04-05-10-07-40-645192-CAM1_godet-vide_grp9.png,2019-04-05-10-07-39-959998-CAM2_godet-vide_grp9.png,godet-vide
9,2019-04-05-10-08-13-195095-CAM1_godet-vide_grp10.png,2019-04-05-10-08-12-515397-CAM2_godet-vide_grp10.png,godet-vide
10,2019-04-05-10-12-13-811798-CAM1_ela_grp11.png,2019-04-05-10-12-13-071108-CAM2_ela_grp11.png,ela
11,2019-04-05-10-13-03-265921-CAM1_ela_grp12.png,2019-04-05-10-13-02-570944-CAM2_ela_grp12.png,ela
12,2019-04-05-10-13-28-680637-CAM1_ela_grp13.png,2019-04-05-10-13-27-978265-CAM2_ela_grp13.png,ela
13,2019-04-05-10-13-36-604063-CAM1_ela_grp14.png,2019-04-05-10-13-35-931964-CAM2_ela_grp14.png,ela
14,2019-04-05-10-13-43-931654-CAM1_godet-vide_grp15.png,2019-04-05-10-13-43-219592-CAM2_godet-vide_grp15.png,godet-vide
15,2019-04-05-10-14-29-943483-CAM1_ela_grp16.png,2019-04-05-10-14-29-183750-CAM2_ela_grp16.png,ela
16,2019-04-05-10-14-38-107054-CAM1_ela_grp17.png,2019-04-05-10-14-37-387280-CAM2_ela_grp17.png,ela
17,2019-04-05-10-15-02-381376-CAM1_pe-hd-opaque_grp18.png,2019-04-05-10-15-01-686723-CAM2_pe-hd-opaque_grp18.png,pe-hd-opaque
18,2019-04-05-10-15-09-319693-CAM1_pe-hd-opaque_grp19.png,2019-04-05-10-15-08-625405-CAM2_pe-hd-opaque_grp19.png,pe-hd-opaque
19,2019-04-05-10-17-46-008243-CAM1_godet-vide_grp20.png,2019-04-05-10-17-45-272852-CAM2_godet-vide_grp20.png,godet-vide
20,2019-04-05-10-19-49-748039-CAM1_godet-vide_grp21.png,2019-04-05-10-19-49-003506-CAM2_godet-vide_grp21.png,godet-vide
21,2019-04-05-10-22-36-576990-CAM1_godet-vide_grp22.png,2019-04-05-10-22-35-893291-CAM2_godet-vide_grp22.png,godet-vide
22,2019-04-05-10-23-51-271196-CAM1_pe-hd-opaque_grp23.png,2019-04-05-10-23-50-536691-CAM2_pe-hd-opaque_grp23.png,pe-hd-opaque
23,2019-04-05-10-23-58-408190-CAM1_pe-hd-opaque_grp24.png,2019-04-05-10-23-57-719342-CAM2_pe-hd-opaque_grp24.png,pe-hd-opaque
24,2019-04-05-10-25-43-698245-CAM1_pe-hd-opaque_grp25.png,2019-04-05-10-25-42-968014-CAM2_pe-hd-opaque_grp25.png,pe-hd-opaque
25,2019-04-05-10-27-29-930420-CAM1_pe-hd-opaque_grp26.png,2019-04-05-10-27-29-277154-CAM2_pe-hd-opaque_grp26.png,pe-hd-opaque
26,2019-04-05-10-27-37-260735-CAM1_godet-vide_grp27.png,2019-04-05-10-27-36-571500-CAM2_godet-vide_grp27.png,godet-vide
27,2019-04-05-10-27-44-625836-CAM1_pet-fonce_grp28.png,2019-04-05-10-27-43-925650-CAM2_pet-fonce_grp28.png,pet-fonce
28,2019-04-05-10-30-40-453343-CAM1_pet-fonce_grp29.png,2019-04-05-10-30-39-699951-CAM2_pet-fonce_grp29.png,pet-fonce
